Seq. ID.	Class	AMP Probability
RDKIT_SHAPRULEMATCH_00396	AMP	0.98
RDKIT_SHAPRULEMATCH_00397	AMP	0.97
RDKIT_SHAPRULEMATCH_00398	AMP	0.99
RDKIT_SHAPRULEMATCH_00399	AMP	0.99
RDKIT_SHAPRULEMATCH_00400	AMP	0.98
RDKIT_SHAPRULEMATCH_00401	AMP	0.99
RDKIT_SHAPRULEMATCH_00402	AMP	0.94
RDKIT_SHAPRULEMATCH_00403	AMP	0.99
RDKIT_SHAPRULEMATCH_00404	AMP	0.99
RDKIT_SHAPRULEMATCH_00405	AMP	0.99
RDKIT_SHAPRULEMATCH_00406	AMP	0.95
RDKIT_SHAPRULEMATCH_00407	AMP	0.99
RDKIT_SHAPRULEMATCH_00408	AMP	0.96
RDKIT_SHAPRULEMATCH_00409	AMP	0.98
RDKIT_SHAPRULEMATCH_00410	AMP	0.98
RDKIT_SHAPRULEMATCH_00411	AMP	0.99
RDKIT_SHAPRULEMATCH_00412	AMP	1.00
RDKIT_SHAPRULEMATCH_00413	AMP	0.98
RDKIT_SHAPRULEMATCH_00414	AMP	0.99
RDKIT_SHAPRULEMATCH_00415	AMP	0.96
RDKIT_SHAPRULEMATCH_00416	AMP	0.98
RDKIT_SHAPRULEMATCH_00417	AMP	0.99
RDKIT_SHAPRULEMATCH_00418	AMP	0.99
RDKIT_SHAPRULEMATCH_00419	AMP	0.99
RDKIT_SHAPRULEMATCH_00420	AMP	1.00
RDKIT_SHAPRULEMATCH_00421	AMP	0.88
RDKIT_SHAPRULEMATCH_00422	AMP	0.98
RDKIT_SHAPRULEMATCH_00423	AMP	0.98
RDKIT_SHAPRULEMATCH_00424	AMP	0.97
RDKIT_SHAPRULEMATCH_00425	AMP	0.99
RDKIT_SHAPRULEMATCH_00426	AMP	0.98
RDKIT_SHAPRULEMATCH_00427	AMP	0.98
RDKIT_SHAPRULEMATCH_00428	AMP	0.98
RDKIT_SHAPRULEMATCH_00429	AMP	0.98
RDKIT_SHAPRULEMATCH_00430	AMP	1.00
RDKIT_SHAPRULEMATCH_00431	AMP	0.99
RDKIT_SHAPRULEMATCH_00432	AMP	0.99
RDKIT_SHAPRULEMATCH_00433	AMP	0.94
RDKIT_SHAPRULEMATCH_00434	AMP	0.99
RDKIT_SHAPRULEMATCH_00435	AMP	0.96
RDKIT_SHAPRULEMATCH_00436	AMP	0.99
RDKIT_SHAPRULEMATCH_00437	AMP	0.97
RDKIT_SHAPRULEMATCH_00438	AMP	0.99
RDKIT_SHAPRULEMATCH_00439	AMP	0.99
RDKIT_SHAPRULEMATCH_00440	AMP	0.99
RDKIT_SHAPRULEMATCH_00441	AMP	0.99
RDKIT_SHAPRULEMATCH_00442	AMP	0.99
RDKIT_SHAPRULEMATCH_00443	AMP	0.99
RDKIT_SHAPRULEMATCH_00444	AMP	0.99
RDKIT_SHAPRULEMATCH_00445	AMP	0.99
RDKIT_SHAPRULEMATCH_00446	AMP	0.99
RDKIT_SHAPRULEMATCH_00447	AMP	0.98
RDKIT_SHAPRULEMATCH_00448	AMP	0.95
RDKIT_SHAPRULEMATCH_00449	AMP	0.99
RDKIT_SHAPRULEMATCH_00450	AMP	0.98
RDKIT_SHAPRULEMATCH_00451	AMP	0.99
RDKIT_SHAPRULEMATCH_00452	AMP	0.99
RDKIT_SHAPRULEMATCH_00453	AMP	0.99
RDKIT_SHAPRULEMATCH_00454	AMP	0.99
RDKIT_SHAPRULEMATCH_00455	AMP	0.98
RDKIT_SHAPRULEMATCH_00456	AMP	0.99
RDKIT_SHAPRULEMATCH_00457	AMP	0.96
RDKIT_SHAPRULEMATCH_00458	AMP	0.99
RDKIT_SHAPRULEMATCH_00459	AMP	0.99
RDKIT_SHAPRULEMATCH_00460	AMP	0.99
RDKIT_SHAPRULEMATCH_00461	AMP	0.86
RDKIT_SHAPRULEMATCH_00462	AMP	0.99
RDKIT_SHAPRULEMATCH_00463	AMP	0.97
RDKIT_SHAPRULEMATCH_00464	AMP	0.96
RDKIT_SHAPRULEMATCH_00465	AMP	1.00
RDKIT_SHAPRULEMATCH_00466	AMP	0.97
RDKIT_SHAPRULEMATCH_00467	AMP	0.98
RDKIT_SHAPRULEMATCH_00468	AMP	1.00
RDKIT_SHAPRULEMATCH_00469	AMP	0.99
RDKIT_SHAPRULEMATCH_00470	AMP	0.99
RDKIT_SHAPRULEMATCH_00471	AMP	0.97
RDKIT_SHAPRULEMATCH_00472	AMP	0.99
RDKIT_SHAPRULEMATCH_00473	AMP	0.99
RDKIT_SHAPRULEMATCH_00474	AMP	0.99
RDKIT_SHAPRULEMATCH_00475	AMP	1.00
RDKIT_SHAPRULEMATCH_00476	AMP	0.98
RDKIT_SHAPRULEMATCH_00477	AMP	0.99
RDKIT_SHAPRULEMATCH_00478	AMP	0.99
